ID,Firstname,Lastname,Position,Team,Twitter Handle,Twitter Followers,Instagram Handle,Instagram Followers
100,Antonius,Cleveland,SG,1,ac_uno1,2389,ac_uno1,7050
101,John,Collins,PF,1,jcollins20_,21.5k,jcollins20_,129k
102,Zach,Collins,C,25,zcollins_33,21.4k,zachcollins_33,92.6k
103,Kyle,Collinsworth,SF,7,bigrussia5,10.5k,collinsworth5,9474
104,Darren,Collison,PG,12,Darren_Collison,106k,darrencollison_,31.3k
105,Nick,Collison,PF,21,nickcollison4,147k,nicholascollison,104k
106,Mike,Conley,PG,15,mconley11,522k,mac11,516k
107,Pat,Connaughton,SG,25,pconnaughton,45.2k,patconnaughton,99.8k
108,Quinn,Cook,PG,10,QCook323,160k,qcook323,774k
109,Charles,Cooke,SG,19,c4_cooke,1416,c4_cooke,5290
11,Al-Farouq,Aminu,PF,25,farouq1,83k,chiefhasarrived,85.8k
110,Jack,Cooley,PF,26,,,,
111,Matt,Costello,C,27,MattCostello10,12.9k,mattcostello2410,20.6k
112,DeMarcus,Cousins,C,19,boogiecousins,1.14m,boogiecousins,3m
113,Robert,Covington,SF,23,Holla_At_Rob33,85k,atf_33,169k
114,Allen,Crabbe,SG,3,allencrabbe,34.2k,allencrabbe,73.1k
115,Torrey,Craig,SF,8,TCraig_23,4376,tcraig3_,44.5k
116,Jamal,Crawford,SG,18,Jcrossover,1.32m,,
117,Jordan,Crawford,SG,19,IAM_Jcraw,1754,iam_jcraw,33.6k
118,Jae,Crowder,SF,6,CJC9BOSS,153k,bossmann99,399k
119,Dante,Cunningham,SF,3,DlamarC33,16.2k,dlamarc33,14.4k
12,Justin,Anderson,SF,23,JusAnderson1,45.1k,jusanderson1,90.1k
120,Stephen,Curry,PG,10,StephenCurry30,13.6m,stephencurry30,26.4m
121,Troy,Daniels,SG,24,troydaniels,35.9k,troydaniels30,63.3k
122,Anthony,Davis,PF,19,AntDavis23,1.66m,antdavis23,4.1m
123,Deyonta,Davis,C,15,DeyontaDavis_04,5397,deyontadavis_231,33.3k
124,Ed,Davis,C,25,eddavisXVII,66.1k,eddavisxvii,130k
125,Dewayne,Dedmon,C,1,d_dedmon3,16.4k,d_dedmon3,52.2k
126,Sam,Dekker,PF,13,dekker,276k,samdek7,205k
127,Malcolm,Delaney,PG,1,foe23,16k,foe2304,27.5k
128,Matthew,Dellavedova,PG,17,matthewdelly,189k,matthewdelly,437k
129,Luol,Deng,SF,14,LuolDeng9,386k,luoldeng9,327k
13,Kyle,Anderson,SF,27,KyleAnderson5,52.3k,teamslowmo,136k
130,DeMar,DeRozan,SG,28,DeMar_DeRozan,644k,demar_derozan,2.5m
131,Cheick,Diallo,PF,19,cheick_diallo13,17.3k,_cd13,56.8k
132,Gorgui,Dieng,C,18,GorguiDieng,58.3k,gorguidieng,113k
133,Spencer,Dinwiddie,PG,3,SDinwiddie_25,58.7k,spencerdinwiddie,177k
134,Tyler,Dorsey,SG,1,TDORSEY_1,13.8k,tylerdorsey5,55.8k
135,Damyean,Dotson,SG,20,wholeteamDot,12.9k,wholeteamdot,44.1k
136,Milton,Doyle,SG,3,MDLU35,1907,md_trey5,42.1k
137,PJ,Dozier,PG,21,Dozier_Kid,11k,dozier_kid,37.6k
138,Goran,Dragic,PG,16,Goran_Dragic,344k,the_1_dragon,327k
139,Larry,Drew,PG,19,,,larry.light,5603
14,Ryan,Anderson,PF,11,,,rjanderson33,61.9k
140,Andre,Drummond,C,9,AndreDrummond,837k,andredrummondd,1.1m
141,Jared,Dudley,PF,24,JaredDudley619,253k,,
142,Kris,Dunn,PG,4,KrisDunn3,48.9k,,
143,Kevin,Durant,PF,10,KDTrey5,17.8m,easymoneysniper,11.3m
144,Jarell,Eddie,SF,2,,,,
145,Henry,Ellenson,PF,9,enryEllenson13,11.6k,henryellenson13,24.9k
146,Wayne,Ellington,SG,16,WayneEllington,51.4k,,
147,Joel,Embiid,C,23,JoelEmbiid,1.67m,joelembiid,3.6m
148,James,Ennis,SF,9,JamesDa_Truth,32k,biggame_08,117k
149,Tyler,Ennis,PG,14,ylerEnnis,67k,1tylerennis,132k
15,Ike,Anigbogu,C,12,IkePostrs_,7710,ikechukwu,24.7k
150,Jawun,Evans,PG,13,j3vans1_,11.4k,j3vans1,46.4k
151,Jeremy,Evans,SF,1,eremyEvans40,33.4k,,
152,Tyreke,Evans,PG,15,TyrekeEvans,191k,rekehavoc1,139k
153,Dante,Exum,PG,29,daanteee,70.2k,daanteee,157k
154,Kenneth,Faried,PF,8,KennethFaried35,385k,kennethfaried35,517k
155,Derrick,Favors,C,29,dfavors14,145k,_dfavors15,82.5k
156,Kay,Felder,PG,4,2kayzero,18k,2kayzero,118k
157,Cristiano,Felicio,C,4,amFelicio,11k,imfelicio,77.6k
158,Raymond,Felton,PG,21,RFeltonGBMS,89.4k,,
159,Terrance,Ferguson,SG,21,,,fergski23,51.4k
16,Giannis,Antetokounmpo,PF,17,Giannis_An34,755k,giannis_an34,5.8m
160,Yogi,Ferrell,SG,7,YogiFerrell11,35.5k,yogiferre11,104k
161,Dorian,Finney-Smith,PF,7,doefinney_10,6215,doedoe_10,29.1k
162,Bryn,Forbes,SG,27,BrynjForbes,19.4k,brynforbes,87.4k
163,Evan,Fournier,SF,22,EvanFourmizz,179k,evanfournier10,116k
164,DeAaron,Fox,PG,26,swipathefox,238k,swipathefox,1.3m
165,Tim,Frazier,PG,30,Timfraz23,15.5k,timfraz23,58.7k
166,Channing,Frye,C,6,channingfrye,121k,channingfrye,314k
167,Markelle,Fultz,SG,23,MarkelleF,231k,markellefultz,2.1m
168,Danilo,Gallinari,SF,13,gallinari8888,716k,danilogallogallinari,344k
169,Langston,Galloway,SG,9,LangGalloway10,24.5k,langgalloway10,99.8k
17,Carmelo,Anthony,PF,21,carmeloanthony,9.16m,carmeloanthony,6.6m
170,Marc,Gasol,C,15,MarcGasol,1.25m,marcgasol,413k
171,Pau,Gasol,C,27,paugasol,7.41m,paugasol,1.3m
172,Rudy,Gay,PF,27,RudyGay,1.27m,rudygay,779k
173,Paul,George,SF,21,Yg_Trece,2.16m,ygtrece,8m
174,Marcus,Georges-Hunt,SG,18,GTMGH3,2403,_mgh_3,6860
175,Jonathan,Gibson,PG,2,jgib4free,1741,jgiblife,8742
176,Taj,Gibson,PF,18,TajGibson22,348k,tajgibson22,451k
177,Manu,Ginobili,SG,27,manuginobili,4.88m,manuginobili,1.1m
178,Rudy,Gobert,C,29,rudygobert27,387k,rudygobert27,341k
179,Aaron,Gordon,PF,22,Double0AG,154k,youngheirgordon,980k
18,OG,Anunoby,SF,28,Oanunoby,33k,oanunoby,124k
180,Eric,Gordon,SG,11,TheofficialEG10,222k,officialeg10,298k
181,Marcin,Gortat,C,30,Mgortat,150k,mgortat13,163k
182,Treveon,Graham,SG,5,,,fr8train21,12.3k
183,Jerami,Grant,PF,21,JeramiGrant,45.9k,jeramigran,142k
184,Jerian,Grant,PG,4,JerianGrant,37.3k,jeriangrant,99k
185,Josh,Gray,PG,24,ThatsJoshGray,5097,officialjoshgray,53.7k
186,Danny,Green,SG,27,DGreen_14,587k,greenranger1,911k
187,Draymond,Green,PF,10,Money23Green,1.36m,money23green,3.4m
188,Gerald,Green,SG,11,,,g.green14,621k
189,JaMychal,Green,PF,15,Jmyke1,16.1k,roadtoriches_0,23.8k
19,Ryan,Arcidiacono,PG,4,RyArch15,46.6k,ry_arch15,78.7k
190,Jeff,Green,PF,6,unclejeffgreen,167k,unclejeffgreen,317k
191,Blake,Griffin,PF,9,blakegriffin23,4.48m,blakegriffin2,3.6m
192,Daniel,Hamilton,SG,21,,,d_ham25,6518
193,Tim,Hardaway,SG,20,T_HardJR,140k,timmyjr10,463k
194,James,Harden,SG,11,JHarden13,6.33m,jharden13,9.9m
10,Tony,Allen,SF,19,aa000G9,261k,aa000G9,261k
195,Maurice,Harkless,SF,25,moe_harkless,48.5k,moe_harkless,91k
196,Montrezl,Harrell,C,13,MONSTATREZZ,61.8k,trezz24,177k
197,Devin,Harris,PG,7,Dev34Harris,26.3k,devinharris34,33.4k
198,Gary,Harris,SG,8,thats_G_,61k,thats_g_,141k
199,Joe,Harris,SG,3,,,joeharris__12,64.9k
2,Quincy,Acy,PF,3,QuincyAcy,35.5k,quincyacy,65k
20,Trevor,Ariza,SF,11,TrevorAriza,77.4k,,
200,Tobias,Harris,PF,9,tobias31,167k,tobiasharris,405k
201,Aaron,Harrison,SG,7,AaronICE2,266k,theaaronice_ptp,166k
202,Andrew,Harrison,PG,15,DrewRoc5,231k,drewroc5,170k
203,Shaquille,Harrison,PG,24,ShaqHarrison_3,4995,shaqharrison_3,19.4k
204,Josh,Hart,SG,14,joshhart,308k,jhart,681k
205,Udonis,Haslem,C,16,ThisIsUD,408k,ud40,522k
206,Nigel,Hayes,SF,14,NIGEL_HAYES,107k,nigel_hayes,67.1k
207,Gordon,Hayward,SF,2,gordonhayward,647k,gordonhayward,1.4m
208,Reggie,Hearn,SG,9,,,,
209,Myke,Henry,SF,15,,,mykehen,2587
21,Darrell,Arthur,PF,8,DarrellArthur00,5761,d_arthur00,11.3k
210,John,Henson,C,17,Johnhenson31,119k,johnhenson31,80.6k
211,Juan,Hernangomez,PF,8,,,juanchiviris41,71.1k
212,Willy,Hernangomez,C,5,willyhg94,65.6k,willyhernangomez,285k
213,Mario,Hezonja,SF,22,mariohezonja,15.9k,supermariohezonja,83.6k
214,Isaiah,Hicks,PF,20,IDHicks,40.1k,idhicks,57k
215,Buddy,Hield,SG,26,buddyhield,118k,buddylove242,477k
216,Nene,Hilario,C,11,NeneHilario42,55.4k,nenehilario_42,169k
217,George,Hill,PG,6,George_Hill3,245k,indianageorge3,217k
218,Solomon,Hill,SF,19,solohill,27.7k,solohill,27.6k
219,Darrun,Hilliard,SG,27,DHilliard6X,5451,dhill6x,20.1k
22,Jamel,Artis,SG,22,melartis1,1993,thatboymell_,10.2k
220,Jrue,Holiday,SG,19,Jrue_Holiday11,140k,jrue_holiday11,211.7k
221,Justin,Holiday,SG,4,JustHolla7,27k,justholla7,151.2k
222,John,Holland,SF,6,Jholland_23,8221,mrhollandsopus,26.9k
223,Rondae,Hollis-Jefferson,SF,3,IamCHAP24,56.9k,chap,117k
224,Richaun,Holmes,C,23,Rich_Holmes22,25.8k,rich_holmes22,48.5k
225,Rodney,Hood,SG,6,rodneyhood,49.2k,hoodie5,227k
226,Scotty,Hopson,SG,7,Shopson32,12.4k,shopson,9630
227,Al,Horford,C,2,Al_Horford,348k,alhorford,539k
228,Danuel,House,SG,24,DanuelHouseJr,13k,dk2house,54.9k
229,Dwight,Howard,C,5,DwightHoward,6.66M,dwighthoward,1.9M
23,Omer,Asik,C,4,AsikOmer,49,,
230,Josh,Huestis,PF,21,Jhuestis,20k,jhuestis,40.2k
231,R.J.,Hunter,SG,11,,,hunter_games31,56.8k
232,Vince,Hunter,PF,15,2easy32,2218,iamvh32,7579
233,Serge,Ibaka,PF,28,sergeibaka,903k,sergeibaka,1 M
234,Andre,Iguodala,SF,10,andre,1.34 M,andre,1.8M
235,Ersan,Ilyasova,PF,1,,,ersanilyasova7,97.6k
236,Joe,Ingles,SF,29,joeingles7,155k,joeingles7,171k
237,Andre,Ingram,SG,14,,,andreingram30,30.2k
238,Brandon,Ingram,SF,14,B_Ingram13,371k,1ngram4,2M
239,Kyrie,Irving,PG,2,KyrieIrving,4.34 M,kyrieirving,13.1 M
24,D.J.,Augustin,PG,22,DJ_Augustin14,329,djaugustin,37.1k
240,Jonathan,Isaac,PF,22,JJudahisaac,21.9k,jonisaac_01,78.5k
241,Wesley,Iwundu,SF,22,_Iwundu25,11.7k,and1ref_,28.7k
242,Jarrett,Jack,PG,20,Jarretjack03,105k,jarretjack03,111k
243,Aaron,Jackson,PG,11,Aaronfingj,6703,aaronfingj,8896
244,Demetrius,Jackson,PG,11,D_Jay11,52.2k,d_jay11,43.6k
245,Josh,Jackson,SF,24,j_josh11,64k,josh_j11,315k
246,Justin,Jackson,SF,26,JJacks_44,98.8k,jjacks44,185k
247,Reggie,Jackson,PG,9,Reggie_Jackson,112k,reggie_jackson,142k
248,LeBron,James,PF,6,KingJames,43.2 M,kingjames,50.6 M
249,Mike,James,PG,19,TheNatural_05,23.3k,mrnatural_05,92.5k
25,Luke,Babbitt,SF,1,RealBabbit08,325,lukebabbit,303
250,Al,Jefferson,C,12,Aljefferson25,1634,,
251,Richard,Jefferson,SF,8,Rjeff24,40.9k,richardajefferson,125k
252,Brandon,Jennings,PG,17,,,,
253,Jonas,Jerebko,PF,29,JonasJerekbo,62k,jonasjerekbo,173k
254,Amir,Johnson,C,23,IamAmirJohnson,145k,iamamirjohnson,199.2k
255,Brice,Johnson,PF,13,bjohnson_23,88.2k,bjohnson_23,97.1k
256,Dakari,Johnson,C,21,DakariJohnson,123k,dakarijohnson,84.8k
257,James,Johnson,PF,16,IamJJ16,24.6k,james16johnson_,47.3k
258,Joe,Johnson,SF,11,TheJoeJohnson7,187k,joejohnson247,70.9k
259,Omari,Johnson,PF,15,Juice_OJ24,651,,
26,Dwayne,Bacon,SG,5,BaconDwayne1000,37.9k,dbacon,227k
260,Stanley,Johnson,SF,9,iAmSJ,64.5k,stanimal,306k
261,Tyler,Johnson,PG,16,RealTJohnson,23k,pushat305,9717
262,Wesley,Johnson,SF,13,WesJohnson4,5577,,
263,Nikola,Jokic,C,8,,,nikolajokicofficial,19.3k
264,Damian,Jones,C,10,dameology,22.8k,dameology,77.3k
265,Derrick,Jones,SF,16,TheReal1DJones,14.6k,the rea1djones,233k
266,Jalen,Jones,SF,7,JalenJones_21,5476,cantguard21,18.2k
267,Tyus,Jones,PG,18,1Tyus,155k,1tyus,404k
268,DeAndre,Jordan,C,13,Deandre,1.16 M,deandre,2.2 M
269,Cory,Joseph,PG,12,Cory_Joe,118k,coryjoseph,210k
27,Ron,Baker,SG,20,RonBaker31,149k,ronbaker620,71.9k
270,Frank,Kaminsky,PF,5,FSKPart3,229k,fskpart3,199k
271,Enes,Kanter,C,20,EnesKanter,458k,eneskanter11,473k
272,Luke,Kennard,SG,9,LukeKennard5,89.9k,lukekennard5,208k
273,Michael,Kidd-Gilchrist,SF,5,MKG14,330k,mkg14,199k
274,Sean,Kilpatrick,SG,3,SeanKilpatrick,36.3k,SeanKilpatrick,141k
275,Maxi,Kleber,PF,7,MaxiKleber,7573,maximilian.Kleber,34.9k
276,Furkan,Korkmaz,SG,23,FurkanKorkmaz,45k,furkankorkmaz,121k
277,Luke,Kornet,PF,20,bigshin32,8357,luke_kornet,12.7k
278,Kyle,Korver,SG,6,KyleKorver,247k,KKorv26,719.2k
279,Kosta,Koufos,C,26,KostaKoufas,28k,kostakoufas,30.6k
28,Wade,Baldwin,PG,25,The_Fourth_Wade,12k,_wadeiv,39.5k
280,Kyle,Kuzma,PF,14,kylekuzma,776k,kuz,3.4M
281,Mindaugas,Kuzminskas,SF,20,MKuzminskas,19.7k,mkuzminskas,79.4k
282,Skal,Labissiere,PF,26,OneBigHaitian,44.2k,skal_lab,92.7k
283,Jeremy,Lamb,SG,5,jlamb,52.3k,jeremylamb1,115k
284,Shane,Larkin,PG,2,ShaneLarkin_3,50.7k,shanelarkin_0,195K
285,Joffrey,Lauvergne,C,27,1JOLOLO,63.2k,7jololo,112.2k
286,Zach,LaVine,SG,4,ZachLaVine,299k,zachlavine8,1.8M
287,Jake,Layman,SF,25,JLayman10,17.4k,j_lay_lay,47.2k
288,T.J.,Leaf,PF,12,leafsquad22,22.1k,leafsquad,104k
289,Courtney,Lee,SG,20,CourtneyLee5,70.4k,courtneylee,155k
29,Lonzo,Ball,PG,14,zo2_,997k,z0,6.7M
290,Damion,Lee,SG,1,Dami0nLee,11.6k,dam0nlee,110k
291,Walt,Lemon,PG,19,WaltLemon,1426,lemo_jr,37.5k
292,Alex,Len,C,24,alexlen,16.7k,alex_len21,41.3k
293,Kawhi,Leonard,SF,27,kawhileonard,403k,,
294,Meyers,Leonard,C,25,MeyersLeonard,132k,meyersleonard11,212k
295,Jon,Leuer,PF,9,JonLeur,24.7k,jonleur30,22.6k
296,Caris,LeVert,SF,3,CarisLaVert,37.8k,carislavert,123.6k
297,DeAndre,Liggins,SG,17,,,dliggs14,31.3k
298,Damian,Lillard,PG,25,Dame_Lillard,1.76M,damianlillard,6.1M
299,Jeremy,Lin,PG,3,JLin7,2.53M,jlin7,1.8M
3,Steven,Adams,C,21,RealStevenAdams,212k,stevenadams,408.4k
30,J.J.,Barea,PG,7,jjbareapr,287k,jjbarea11,370k
300,Shaun,Livingston,PG,10,ShaunLivingston,303k,sdot1414,670.5k
301,Kevon,Looney,C,10,Loon_Rebel5,41.5k,looney,223k
302,Brook,Lopez,C,14,RealBrookLopez,1502,brook_lopez,4452
303,Robin,Lopez,C,4,rolopez42,154k,gustogummi88,143k
304,Kevin,Love,C,6,kevinlove,3.21M,kevinlove,3M
305,Kyle,Lowry,PG,28,klow7,869k,Kyle_Lowry7,1.5M
306,Timothe,Luwawu-Cabarrot,SF,23,timeabs,23.3k,7tlc,54.9k
307,Tyler,Lydon,PF,8,Tyler_Lydon14,13.5k,tylerlydon,40.7k
308,Trey,Lyles,PF,8,TreyLyles,113k,treylyles,169.3k
309,Shelvin,Mack,PG,22,ShelvinMack,25.5k,shelvin.mack,32.6k
31,Harrison,Barnes,PF,7,hbarnes,628k,hbarnes,1.1M
310,Josh,Magette,PG,1,joshmagette,2411,joshmagette,7437
311,Ian,Mahinmi,C,30,ianmahinmi,45.8k,ianou76,52.8k
312,Thon,Maker,C,17,ThonMaker14,50.5k,thonmaker,170.4k
313,Boban,Marjanovic,C,9,BobanMajanovic,65.9k,boban,453.4k
314,Lauri,Markkanen,PF,4,MarkkenanLauri,107k,laurimarkkenanan,312k
315,Jarell,Martin,PF,15,MartinJarell,4822,jarell_martin1,38.2k
316,Frank,Mason,PG,26,FrankMason0,120k,fmason0,170k
317,Mangok,Mathiang,C,5,M_Mango32,3536,aussiemango09,23.1k
318,Wesley,Matthews,SF,7,WessyWes23,268k,wessywes23,175.4k
319,Luc,Moute,PF,11,mbahamoute,54.3k,lucmbahmoute,57.2k
32,Will,Barton,SG,8,WillTheThrillB5,43.3k,willthethrillb5,108k
320,James,McAdoo,PF,23,jamesmcadoo,25.3k,jamesmcadoo,118.5k
321,Patrick,McCaw,SG,10,PMcCaw0,47.6k,pmccaw0,267k
322,CJ,McCollum,SG,25,CJMcCollum,334k,3jmccollum,1.2M
323,T.J.,McConnell,PG,23,TJMcConnel,54.3k,tjmcconnel,129k
324,Erik,McCree,SF,29,ErikMccree,18k,erikmcree,11.2k
325,Chris,McCullough,PF,30,,,_chrismccullough,1934
326,Doug,McDermott,SF,7,dougmcdermott,152k,dougmcd03,293k
327,JaVale,McGee,C,10,JavaleMcGee,281k,javalemcgee,1.3M
328,Rodney,McGruder,SG,16,RodneyMcGruder,7195,rodneymcgruder,8051
329,Trey,McKinney-Jones,SG,12,TreyMJ04,3756,treymj,3750
33,Nicolas,Batum,SG,5,nicolas88batum,1.02M,nicbatum88,220k
330,Alfonzo,McKinnie,SF,28,_Alvo_,14.5k,_alvo_,97.7k
331,Ben,McLemore,SG,15,BenMcLemore,100k,b_mclemore23,318k
332,Josh,McRoberts,PF,7,,,mcrobertsjosh,45
333,Jodie,Meeks,SG,30,Jmeeks20,95.7k,jmeekstreypiece,74.4k
334,Salah,Mejri,C,7,50Mejri,22.2k,50mejri,106.7k
335,Jordan,Mickey,PF,16,Jmickey_02,9444,jmick_55,43.9k
336,Khris,Middleton,SF,17,Khris22m,44.8k,k_mid22,178k
337,C.J.,Miles,SF,28,masfresco,38k,,
338,Darius,Miller,SF,19,Dmillerky,182k,dmillerky,26.2k
339,Malcolm,Miller,SF,28,MalcMilli13,7699,mlmili,21.9k
34,Jerryd,Bayless,SG,23,jeryydbayless,13.4k,jerrybayless,2940
340,Patty,Mills,PG,27,Patty_Mills,408k,balapat,349k
341,Paul,Millsap,PF,8,PaulMillsap4,67.4k,paulmilsap4,235.9k
342,Nikola,Mirotic,PF,4,NikolaMirotic33,200k,,
343,Donovan,Mitchell,SG,29,spidamitchell,499k,spidamitchell,2.4M
344,Naz,Mitrou-Long,SG,29,NazzyJML,45.5k,nvzml,35.8k
